severity	check	path	line	message	suggestion	snippet
error	unclosed-comment	Campaigns/Cleenseau Campaign/Sessions/Cleenseau - Session 03.md	17	Obsidian comment appears to be missing its closing %%	Add a closing %% before the end of the file.	
error	unclosed-export-block	Cosmology/Dreamworld.md	21	%%^Campaign:none%% has no matching %%^End%% marker	Add %%^End%% after the block content.	%%^Campaign:none%%
error	unclosed-export-block	Cosmology/Planar Concepts/Extraplanar Weak Point.md	20	%%^Campaign:dufr%% has no matching %%^End%% marker	Add %%^End%% after the block content.	%%^Campaign:dufr%%
error	unclosed-export-block	Cosmology/Planar Concepts/Extraplanar Weak Point.md	26	%%^Campaign:End%% has no matching %%^End%% marker	Add %%^End%% after the block content.	%%^Campaign:End%%
error	unclosed-export-block	Cosmology/Planar Concepts/Extraplanar Weak Point.md	28	%%^Campaign:none%% has no matching %%^End%% marker	Add %%^End%% after the block content.	%%^Campaign:none%%
error	unclosed-comment	Gazetteer/Central Highlands/Dwarven Kingdoms/Ardith.md	30	Obsidian comment appears to be missing its closing %%	Add a closing %% before the end of the file.	
error	unclosed-export-block	Gazetteer/Greater Dunmar/Roads/Stoneway.md	21	%%^Campaign:DuFr%% has no matching %%^End%% marker	Add %%^End%% after the block content.	%%^Campaign:DuFr%%
error	unclosed-export-block	Gazetteer/Greater Sembara/Sembara/Barony of Aveil/Cleenseau Region/Cleenseau/The Fox's Flagon.md	23	%%^Campaign:Clee%% has no matching %%^End%% marker	Add %%^End%% after the block content.	%%^Campaign:Clee%%
error	unclosed-comment	Gazetteer/Greater Sembara/Sembara/Barony of Aveil/Cleenseau Region/Cleenseau/The Fox's Flagon.md	25	Obsidian comment appears to be missing its closing %%	Add a closing %% before the end of the file.	
error	unclosed-export-block	Gazetteer/Northwest Coast/Erbalta Plains/Crystal Cavern.md	25	%%^Campaign:none%% has no matching %%^End%% marker	Add %%^End%% after the block content.	%%^Campaign:none%%
error	unclosed-comment	Groups/Sembaran Army/Dunfry Regiment.md	27	Obsidian comment appears to be missing its closing %%	Add a closing %% before the end of the file.	
error	unclosed-comment	People/Deno'qai/Itar.md	25	Obsidian comment appears to be missing its closing %%	Add a closing %% before the end of the file.	
error	unclosed-comment	Worldbuilding/Talk/Drankorian History - Discussion.md	13	Obsidian comment appears to be missing its closing %%	Add a closing %% before the end of the file.	
warn	common-typo	Campaigns/Campaign Inventory.md	69	common typo	mishmash	- Informatics One Shot. Set in an ambiguous DR 1700s time frame, in the Sembara Highlands. Two sessions, finished. Level 2-3. Some notes ex...
warn	pathful-wikilink	Campaigns/Cleenseau Campaign/Cleenseau Campaign - Timeline.md	45	Wiki link uses a full path	[[Ida Rosfeld]]	* November 26th: [[People/Sembarans/Ida Rosfeld|Ida Rosfeld]] is unexpectedly ordered to [[Dunfry|Dunfry]] by [[Quentin]]
warn	pathful-wikilink	Campaigns/Cleenseau Campaign/Cleenseau Campaign - Timeline.md	46	Wiki link uses a full path	[[Ida Rosfeld]]	* November 27th: [[People/Sembarans/Ida Rosfeld|Ida Rosfeld]] marches away
warn	pathful-wikilink	Campaigns/Cleenseau Campaign/Cleenseau Campaign - Timeline.md	50	Wiki link uses a full path	[[Izgil Moonseeker|Izgil]]	* December 2nd: [[People/PCs/Cleenseau/Izgil Moonseeker|Izgil]] leaves for [[Dunfry|Dunfry]] with [[Brot Starsearcher]]
warn	pathful-wikilink	Campaigns/Cleenseau Campaign/Cleenseau Campaign - Timeline.md	54	Wiki link uses a full path	[[Izgil Moonseeker|Izgil]]	* December 10th: [[People/PCs/Cleenseau/Izgil Moonseeker|Izgil]] returns with rumors of chaos in the [[Army of the West|Army of the West]]
warn	double-period	Campaigns/Cleenseau Campaign/Raw Emails/An Evening in Corraine's House.md	15	Line contains a double period	Use one period unless this is intentional punctuation.	"That is quite a soothing light. It.. showed... " (she seems unsure if this is the right word) ".. me that some fears are not true. As did ...
warn	common-typo	Campaigns/Cleenseau Campaign/Raw Emails/At The Elegant Swan in Champimont.md	439	common typo	occurred	"But it never occured to me that one could just....learn fey magic. But then again, all of you seem to have found your magic by unusual pat...
warn	common-typo	Campaigns/Cleenseau Campaign/Raw Emails/At The Elegant Swan in Champimont.md	458	common typo	occurred	> "But it never occured to me that one could just....learn fey magic. But then again, all of you seem to have found your magic by unusual p...
warn	double-period	Campaigns/Cleenseau Campaign/Raw Emails/Champimont - Rumors and Information.md	17	Line contains a double period	Use one period unless this is intentional punctuation.	> He hands two letters to the guard, and whispers something to her. She escorts you back to [[The Elegant Swan]], and when you point out Ro...
warn	double-period	Campaigns/Cleenseau Campaign/Raw Emails/Cleenseau - The Oracle of Hope.md	170	Line contains a double period	Use one period unless this is intentional punctuation.	Charlotte begins: “He said to tell you..” and here her acting skill is evident, she makes her voice a bit deeper and repeats a line, clearl...
warn	double-period	Campaigns/Cleenseau Campaign/Raw Emails/Cleenseau - The Oracle of Hope.md	207	Line contains a double period	Use one period unless this is intentional punctuation.	> Charlotte begins: “He said to tell you..” and here her acting skill is evident, she makes her voice a bit deeper and repeats a line, clea...
warn	double-period	Campaigns/Cleenseau Campaign/Raw Emails/Cleenseau - The Oracle of Hope.md	272	Line contains a double period	Use one period unless this is intentional punctuation.	She pauses: "You've grown..." She trails off, uncertain how to finish the sentence. And then ends more quietly: "I'm sorry, about before. T...
warn	double-period	Campaigns/Cleenseau Campaign/Raw Emails/Cleenseau - The Oracle of Hope.md	292	Line contains a double period	Use one period unless this is intentional punctuation.	> She pauses: "You've grown..." She trails off, uncertain how to finish the sentence. And then ends more quietly: "I'm sorry, about before....
warn	double-period	Campaigns/Cleenseau Campaign/Raw Emails/Hunter Aftermaths.md	13	Line contains a double period	Use one period unless this is intentional punctuation.	The cave mouth is dark, whatever lights lit it extinguished. Viepuck is the first to notice two bears lumbering out of the cave mouth. It l...
warn	double-period	Campaigns/Cleenseau Campaign/Raw Emails/Hunter Aftermaths.md	45	Line contains a double period	Use one period unless this is intentional punctuation.	> The cave mouth is dark, whatever lights lit it extinguished. Viepuck is the first to notice two bears lumbering out of the cave mouth. It...
warn	pathful-wikilink	Campaigns/Cleenseau Campaign/Sessions/Cleenseau - Session 06.md	17	Wiki link uses a full path	[[Izgil Moonseeker|Izgil]]	* December 10th: [[People/PCs/Cleenseau/Izgil Moonseeker|Izgil]] returns with rumors of chaos in the [[Army of the West|Army of the West]]
warn	double-period	Campaigns/Cleenseau Campaign/Stories/Asides and Diversions/The Destruction of Eftly.md	54	Line contains a double period	Use one period unless this is intentional punctuation.	When I left for the army though.. Remy was apprenticed to the temple administrator of the Wildling here, a good position, my family was pro...
warn	double-period	Campaigns/Cleenseau Campaign/Stories/El's Story.md	46	Line contains a double period	Use one period unless this is intentional punctuation.	"For me", El says, "the dreams are comfortable, if strange. I am always in them, and I can walk and see and inspect. I knew to stop here wh...
warn	double-period	Campaigns/Cleenseau Campaign/Stories/Elizabeth of Cassen's Story.md	16	Line contains a double period	Use one period unless this is intentional punctuation.	> I ended up in Rinburg a few days later, and I wanted to help, I truely did, but the thought of facing that corpse, rising from its wounds...
warn	common-typo	Campaigns/Dunmari Frontier Campaign/Dreams and Visions/Visions of the Sentient Ocean.md	19	likely typo	living there	*These people, these fish men and fish women, begin to stretch, flex, and open their eyes. They look around as the currents swirl around th...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Hoards/Agata's Treasure.md	48	Wiki link uses a full path	[[Isha]]	- Eye of Undead Sensing. A jar filled with liquid in which floats a single human eye, radiating divination magic. When an undead creature c...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Hoards/Gifts and Purchases.md	25	Wiki link uses a full path	[[Cha'mutte]]	- Ring of Jumping. A ring of a Drankorian design, a twisted silver hare motif. Gift from [[Havdar]], in exchange for the Spear of the War L...
warn	malformed-secret-comment	Campaigns/Dunmari Frontier Campaign/Hoards/Gifts and Purchases.md	49	SECRET comment marker has a space after %%	Use %%SECRET with no space.	- Four large pearls, gifted by the Skaer %% SECRET rare %%
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Hoards/Nashtkar Treasures.md	21	Wiki link uses a full path	[[Cha'mutte]]	- A black pearl and silver twisted flame amulet, reminiscent of one of [[Cha'mutte]]'s symbols. Taken from the undead creature in the fort ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Hoards/Nashtkar Treasures.md	21	Wiki link uses a full path	[[Cha'mutte]]	- A black pearl and silver twisted flame amulet, reminiscent of one of [[Cha'mutte]]'s symbols. Taken from the undead creature in the fort ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Hoards/Nashtkar Treasures.md	24	Wiki link uses a full path	[[Motua]]	- [[Horn of Silent Alarm (Dunmari)]] (common minor item), sacrificed as part of the ritual to uncurse Kenzo from the soul chain bound to hi...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Letters and Notes/Research from Kassi.md	8	Wiki link uses a full path	[[Cha'mutte]]	There are of course many legends of the heroes of the [[Great War]], of their deeds in the desperate battles of that time, of the final bat...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Letters and Notes/Research from Kassi.md	58	Wiki link uses a full path	[[Cha'mutte]]	However, she argues, all we know of divine power and magic suggests that divine energy cannot be destroyed. If worship of a divinity dies o...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Party Treasure - Former.md	21	Wiki link uses a full path	[[Scepter of Command]]	- [[Things/Artifacts of Power/Scepter of Command|Scepter of Command]], destroyed in [[Session 81 (DuFr)]]
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Party Treasure - Former.md	26	Wiki link uses a full path	[[Motua]]	- [[Horn of Silent Alarm (Dunmari)]] (common minor item), sacrificed as part of the ritual to uncurse Kenzo from the soul chain bound to hi...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Scrying and Spying/Scrying Delwath Oct 21.md	18	Wiki link uses a full path	[[Wellby]]	*[[People/PCs/Dunmar Fellowship/Wellby]]*: You look in on [[Wellby]] several times as well. The first time you see him, he is in a small bo...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Scrying and Spying/Scrying Delwath Oct 21.md	55	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] is cautious scrying on enemies, and it can be a challenge.
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Scrying and Spying/Scrying Delwath Oct 21.md	59	Wiki link uses a full path	[[Grash]]	Scrying on [[Kharsan]], or [[People/Other Nonhumans/Grash]], reveals a city in the midst of preparations for war. Unless you spend more tim...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Scrying and Spying/Scrying Delwath Oct 21.md	59	Wiki link uses a full path	[[Grash]]	Scrying on [[Kharsan]], or [[People/Other Nonhumans/Grash]], reveals a city in the midst of preparations for war. Unless you spend more tim...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Scrying and Spying/Scrying Delwath Oct 26.md	21	Wiki link uses a full path	[[Festival of Rebirth]]	The monsoon has been good to [[Karawa]], and the rebuilding is in full swing. From your perspective at the oasis, you can see a new caravan...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Scrying and Spying/Scrying Delwath Tollen Downtime.md	25	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] spends a significant amount of time scrying [[Chardon]], both people and especially a number of pl...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Scrying and Spying/Scrying Delwath Tollen Downtime.md	35	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] scries on [[Marcella]] three times: once, the scry fails, but the other two succeed.
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Scrying and Spying/Scrying Delwath Tollen Downtime.md	51	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] scries on [[Johar]] several times, hoping to gain insight into the state of Sura’s camp.
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Interlude (Preparations for Limbo).md	35	Wiki link uses a full path	[[Tanshi]]	The party asks a number of questions of extraplanar powers, include several for [[Rai]] himself, as well as follow up questions for the [[G...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 100 (DuFr).md	50	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]], [[Wellby]], and [[Kenzo]] land on the slimy, matted roof of the building, but the kelp is too thi...
warn	common-typo	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 101 (DuFr).md	37	common typo	against	We begin as the party prepares to battle the herald of [[Gazankoa]], guarding the portal to the [[Elemental Plane of Water]]. [[Delwath]], ...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 103 (DuFr).md	55	Wiki link uses a full path	[[Tanshi]]	The next morning, [[Riswynn]] resurrected [[Aygul]] and [[Jotha]] using Raise Dead. [[Aygul]], an [[Orcs|orc]], described a strange, dark p...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 105 (DuFr).md	45	Wiki link uses a full path	[[Wellby|py. We]]	The party takes [[Vindristjarna]] east, reaching the grove in which [[Canopy]] is growing in a few hours. Brief scouting reveals a circle o...
warn	double-period	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 108 (DuFr).md	85	Line contains a double period	Use one period unless this is intentional punctuation.	>Wellby: "We're friends.."
warn	double-period	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 114 (DuFr).md	139	Line contains a double period	Use one period unless this is intentional punctuation.	- Kenzo detects a faint connection to [[Khemut of Targu]] from the chest but no immediate link to [[Minarith]], the peronar..
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 115 (DuFr).md	35	Wiki link uses a full path	[[Fausto]]	- (DR:: 1749-05-24), late morning: Travel along the Rainbow Bridge to [[Vindristjarna]], returning to the [[Material Plane]]. Encounter cha...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 115 (DuFr).md	35	Wiki link uses a full path	[[Fausto]]	- (DR:: 1749-05-24), late morning: Travel along the Rainbow Bridge to [[Vindristjarna]], returning to the [[Material Plane]]. Encounter cha...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	33	Wiki link uses a full path	[[Fausto]]	- (DR:: 1749-05-24), midday: Fight [[People/Chardonians/Fausto|Fausto]] and his allies. Take the [[Crown of Purity]] and defeat Fausto. Deb...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	37	Wiki link uses a full path	[[Fausto]]	We begin as the party teleports to the [[Temple of the Eight Divines]] in [[Drankor]], where [[People/Chardonians/Fausto|Fausto]] and his a...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	37	Wiki link uses a full path	[[Fausto]]	We begin as the party teleports to the [[Temple of the Eight Divines]] in [[Drankor]], where [[People/Chardonians/Fausto|Fausto]] and his a...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	37	Wiki link uses a full path	[[Fausto]]	We begin as the party teleports to the [[Temple of the Eight Divines]] in [[Drankor]], where [[People/Chardonians/Fausto|Fausto]] and his a...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	39	Wiki link uses a full path	[[Fausto]]	Fausto counters with a spell, eluding [[Seeker]]’s _Counterspell_ and taking control of the battlefield. [[Seeker]] falls victim to [[Peopl...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	39	Wiki link uses a full path	[[Fausto]]	Fausto counters with a spell, eluding [[Seeker]]’s _Counterspell_ and taking control of the battlefield. [[Seeker]] falls victim to [[Peopl...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	39	Wiki link uses a full path	[[Fausto]]	Fausto counters with a spell, eluding [[Seeker]]’s _Counterspell_ and taking control of the battlefield. [[Seeker]] falls victim to [[Peopl...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	43	Wiki link uses a full path	[[Fausto]]	Fausto laughs grimly as Kenzo’s relentless attacks, which should kill him, only sever one of the gray magical tendrils extending from the [...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	43	Wiki link uses a full path	[[Fausto]]	Fausto laughs grimly as Kenzo’s relentless attacks, which should kill him, only sever one of the gray magical tendrils extending from the [...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	47	Wiki link uses a full path	[[Delwath]]	[[People/PCs/Dunmar Fellowship/Delwath]] casts _Sleep_, successfully incapacitating [[People/Chardonians/Fausto|Fausto]] temporarily. Howev...
warn	pathful-wikilink	Campaigns/Dunmari Frontier Campaign/Session Notes/Session 116 (DuFr).md	47	Wiki link uses a full path	[[Fausto]]	[[People/PCs/Dunmar Fellowship/Delwath]] casts _Sleep_, successfully incapacitating [[People/Chardonians/Fausto|Fausto]] temporarily. Howev...
